交易日期,作物代號,作物名稱,市場代號,市場名稱,上價(元/公斤),中價(元/公斤),下價(元/公斤),平均價(元/公斤),交易量(公斤),
103.04.01,R1,芒果-愛文,104,台北二,108.3,73.5,43.7,74.5,36,
103.04.01,R1,芒果-愛文,109,台北一,322.2,122.8,66.7,151.5,519,
103.04.01,R1,芒果-愛文,241,三重區,90.5,60.7,52.2,65,1763,
103.04.01,R1,芒果-愛文,400,台中市,109,57.4,26.6,74.9,411,
103.04.01,R1,芒果-愛文,800,高雄市,100,100,100,100,100,
103.03.30,R1,芒果-愛文,104,台北二,85.6,37.4,20,43.6,144,
103.03.30,R1,芒果-愛文,109,台北一,275.7,132.8,71.4,149.1,323,
103.03.30,R1,芒果-愛文,241,三重區,123.3,64.3,39.5,71.2,1209,
103.03.30,R1,芒果-愛文,400,台中市,104,60,34.4,80.6,574,
103.03.30,R1,芒果-愛文,800,高雄市,150,132.2,120,133.3,81,
103.03.29,R1,芒果-愛文,104,台北二,130,95,60,95,12,
103.03.29,R1,芒果-愛文,109,台北一,290.9,167.1,85.8,175.6,309,
103.03.29,R1,芒果-愛文,241,三重區,103.9,62.7,35.5,65.5,1063,
103.03.29,R1,芒果-愛文,400,台中市,113.3,72.5,35,77.1,170,
103.03.29,R1,芒果-愛文,800,高雄市,150,125,100,125,144,
103.03.28,R1,芒果-愛文,104,台北二,73,41.9,33.8,46.5,97,
103.03.28,R1,芒果-愛文,109,台北一,286,112.3,58.8,136.3,225,
103.03.28,R1,芒果-愛文,241,三重區,98.2,63.2,32.9,64.1,655.5,
103.03.28,R1,芒果-愛文,400,台中市,100,46.3,29.2,70.4,416,
103.03.28,R1,芒果-愛文,800,高雄市,150,121.8,100,123.1,130,
103.03.27,R1,芒果-愛文,104,台北二,80,70,60,70,72,
103.03.27,R1,芒果-愛文,109,台北一,282.6,177.2,60.9,175,143,
103.03.27,R1,芒果-愛文,241,三重區,111.9,66.3,38.5,69.9,438.5,
103.03.27,R1,芒果-愛文,400,台中市,90,49.5,32,57.5,66,
103.03.27,R1,芒果-愛文,800,高雄市,130,115,100,115,80,
103.03.26,R1,芒果-愛文,109,台北一,304.6,159.4,80.9,172.7,66,
103.03.26,R1,芒果-愛文,241,三重區,80,70,70,72,150,
103.03.26,R1,芒果-愛文,400,台中市,110,79,48.5,88.7,156,
103.03.25,R1,芒果-愛文,104,台北二,94,37.9,26,46.7,70,
103.03.25,R1,芒果-愛文,109,台北一,235.4,90.2,50,111.2,249,
103.03.25,R1,芒果-愛文,241,三重區,113.6,64.5,39.5,69.4,641,
103.03.25,R1,芒果-愛文,400,台中市,110,59.7,38,82.9,138,
103.03.25,R1,芒果-愛文,800,高雄市,130,130,130,130,20,
103.03.23,R1,芒果-愛文,104,台北二,150,146.5,46.7,127.2,54,
103.03.23,R1,芒果-愛文,109,台北一,232.5,128.5,49.1,133.4,96,
103.03.23,R1,芒果-愛文,241,三重區,102,63.2,32.7,64.9,371,
103.03.23,R1,芒果-愛文,400,台中市,20,20,20,20,6,
103.03.23,R1,芒果-愛文,800,高雄市,150,125,100,125,60,
103.03.22,R1,芒果-愛文,104,台北二,150,80,54.4,88.9,54,
103.03.22,R1,芒果-愛文,109,台北一,251.4,112.8,46.3,127.2,269,
103.03.22,R1,芒果-愛文,241,三重區,85.2,67.9,43.4,66.5,662,
103.03.22,R1,芒果-愛文,400,台中市,110,90,43.5,81.2,36,
103.03.21,R1,芒果-愛文,104,台北二,133.4,72,37.3,77.3,95,
103.03.21,R1,芒果-愛文,109,台北一,260,188.3,105,186,60,
103.03.21,R1,芒果-愛文,241,三重區,104,57.8,49.9,65.4,444,
103.03.21,R1,芒果-愛文,400,台中市,125,93.3,35,91.7,72,
103.03.21,R1,芒果-愛文,800,高雄市,130,130,130,130,60,
103.03.20,R1,芒果-愛文,104,台北二,65.6,58.9,46.7,57.8,54,
103.03.20,R1,芒果-愛文,109,台北一,278.2,204.9,148.2,208.2,66,
103.03.20,R1,芒果-愛文,241,三重區,86.1,54.6,45.8,59.1,956.5,
103.03.20,R1,芒果-愛文,400,台中市,112.5,56.7,25,60.1,146,
103.03.19,R1,芒果-愛文,109,台北一,251.1,151.5,61.1,153.3,108,
103.03.19,R1,芒果-愛文,241,三重區,109,80.7,62.8,82.7,218,
103.03.19,R1,芒果-愛文,400,台中市,100,70,22.5,64.2,53,
103.03.19,R1,芒果-愛文,800,高雄市,130,115,100,115,36,
103.03.18,R1,芒果-愛文,104,台北二,95.3,40.5,28,49,149,
103.03.18,R1,芒果-愛文,109,台北一,238,124,44.4,130.9,276,
103.03.18,R1,芒果-愛文,241,三重區,111.9,80.3,56.2,81.8,528,
103.03.18,R1,芒果-愛文,400,台中市,55,52,47,51.3,18,
103.03.18,R1,芒果-愛文,800,高雄市,150,132.2,120,133.3,108,
103.03.16,R1,芒果-愛文,104,台北二,35,35,35,35,5,
103.03.16,R1,芒果-愛文,109,台北一,320,201.7,125,210,60,
103.03.16,R1,芒果-愛文,241,三重區,100,81.2,75,83.7,35,
103.03.16,R1,芒果-愛文,400,台中市,100,80,60,81.2,17,
103.03.16,R1,芒果-愛文,800,高雄市,180,180,180,180,30,
103.03.15,R1,芒果-愛文,104,台北二,60,60,60,60,12,
103.03.15,R1,芒果-愛文,109,台北一,251.9,134,52,141.2,141,
103.03.15,R1,芒果-愛文,241,三重區,94.5,74.1,38.6,71.1,252,
103.03.15,R1,芒果-愛文,400,台中市,120,100,80,103.3,36,
103.03.15,R1,芒果-愛文,800,高雄市,129.7,120,120,121.9,62,
103.03.14,R1,芒果-愛文,104,台北二,68.7,57,42,56.3,43,
103.03.14,R1,芒果-愛文,109,台北一,295.4,208.2,81.9,200.4,78,
103.03.14,R1,芒果-愛文,241,三重區,132,83.9,59.9,88.7,410,
103.03.14,R1,芒果-愛文,400,台中市,120,80,40,82,60,
103.03.13,R1,芒果-愛文,104,台北二,100,58.1,42,63.3,19,
103.03.13,R1,芒果-愛文,109,台北一,250,187.8,70,176.7,54,
103.03.13,R1,芒果-愛文,241,三重區,130,87.3,39.1,86.2,169.5,
103.03.13,R1,芒果-愛文,400,台中市,100,51.7,20,56.9,48,
103.03.13,R1,芒果-愛文,800,高雄市,130,130,130,130,20,
103.03.12,R1,芒果-愛文,109,台北一,250,210,80,192,30,
103.03.12,R1,芒果-愛文,241,三重區,75,75,75,75,24,
103.03.12,R1,芒果-愛文,400,台中市,100,90,80,90,12,
103.03.11,R1,芒果-愛文,104,台北二,40,35.8,30,35.5,118,
103.03.11,R1,芒果-愛文,109,台北一,279.4,148.2,52.4,155.3,102,
103.03.11,R1,芒果-愛文,241,三重區,107.5,83.1,53.9,82.2,272.5,
103.03.11,R1,芒果-愛文,400,台中市,120,69,20,69.4,30,
103.03.11,R1,芒果-愛文,800,高雄市,150,131,100,128.6,35,
103.03.09,R1,芒果-愛文,109,台北一,220.5,65,43.2,91.8,222,
103.03.09,R1,芒果-愛文,241,三重區,100,89.9,62,86.3,118,
103.03.09,R1,芒果-愛文,400,台中市,100,90,80,90,24,
103.03.08,R1,芒果-愛文,109,台北一,150,79.2,55,88.5,60,
103.03.08,R1,芒果-愛文,241,三重區,129.3,88.2,56.4,90.1,189.5,
103.03.08,R1,芒果-愛文,400,台中市,100,24.5,20,42.3,24,
103.03.08,R1,芒果-愛文,800,高雄市,100,100,100,100,27,
103.03.07,R1,芒果-愛文,104,台北二,30,30,30,30,35,
103.03.07,R1,芒果-愛文,109,台北一,191.4,80.7,45,95.7,210,
103.03.07,R1,芒果-愛文,241,三重區,117.2,90.3,50.5,87.7,122,
103.03.07,R1,芒果-愛文,400,台中市,110,90,70,92.3,78,
103.03.06,R1,芒果-愛文,104,台北二,48,48,48,48,21,
103.03.06,R1,芒果-愛文,109,台北一,226.7,117.2,60,127.7,90,
103.03.06,R1,芒果-愛文,241,三重區,140,86.6,53.2,90.6,51,
103.03.06,R1,芒果-愛文,400,台中市,90,53,30,59.5,114,
103.03.05,R1,芒果-愛文,104,台北二,50,50,50,50,18,
103.03.05,R1,芒果-愛文,109,台北一,194.3,149.1,90.7,146.4,42,
103.03.05,R1,芒果-愛文,241,三重區,124.7,70.3,35,74.1,112,
103.03.05,R1,芒果-愛文,400,台中市,110,85,60,82.7,90,
103.03.04,R1,芒果-愛文,104,台北二,80,60.2,53.3,62.8,116,
103.03.04,R1,芒果-愛文,109,台北一,200,154.4,95,151.7,90,
103.03.04,R1,芒果-愛文,241,三重區,134.8,105.3,62.6,102.7,315,
103.03.04,R1,芒果-愛文,400,台中市,120,93.3,60,94.5,66,
103.03.04,R1,芒果-愛文,800,高雄市,120,105,90,105,24,
103.03.02,R1,芒果-愛文,109,台北一,160.5,87.6,60.6,96.8,143,
103.03.02,R1,芒果-愛文,241,三重區,126.3,73.3,42,77.7,120,
103.03.02,R1,芒果-愛文,400,台中市,120,93.3,60,85.7,42,
103.03.02,R1,芒果-愛文,800,高雄市,130,102.2,80,103.3,108,
103.03.01,R1,芒果-愛文,109,台北一,100,86.7,60,84,35,
103.03.01,R1,芒果-愛文,241,三重區,139,120,88.1,117.4,360,
103.03.01,R1,芒果-愛文,400,台中市,112.5,86.7,70,93,150,
103.03.01,R1,芒果-愛文,800,高雄市,100,90,80,90,30,
103.02.28,R1,芒果-愛文,104,台北二,50,42.5,35,42.5,28,
103.02.28,R1,芒果-愛文,109,台北一,166.1,83.5,49.6,93.2,168,
103.02.28,R1,芒果-愛文,241,三重區,188.6,119.4,94.4,128.2,107.5,
103.02.28,R1,芒果-愛文,400,台中市,100,90,80,93.3,18,
103.02.27,R1,芒果-愛文,104,台北二,70,70,70,70,6,
103.02.27,R1,芒果-愛文,109,台北一,160,96.7,50,100,60,
103.02.27,R1,芒果-愛文,241,三重區,132,96.1,59.3,95.9,246,
103.02.27,R1,芒果-愛文,400,台中市,100,80,50,73.3,36,
103.02.27,R1,芒果-愛文,800,高雄市,97.1,86.2,80,87.1,84,
103.02.26,R1,芒果-愛文,109,台北一,167.5,91.3,40,96.3,32,
103.02.26,R1,芒果-愛文,241,三重區,120,70.2,40,74.1,17,
103.02.25,R1,芒果-愛文,109,台北一,88.6,70.9,62.4,72.8,174,
103.02.25,R1,芒果-愛文,241,三重區,211.5,107.4,70,120.8,63.5,
103.02.25,R1,芒果-愛文,800,高雄市,60,60,60,60,27,
103.02.23,R1,芒果-愛文,104,台北二,55,55,55,55,6,
103.02.23,R1,芒果-愛文,109,台北一,80,75.6,60,73.3,18,
103.02.23,R1,芒果-愛文,800,高雄市,50,50,50,50,20,
103.02.22,R1,芒果-愛文,109,台北一,60,60,60,60,42,
103.02.22,R1,芒果-愛文,241,三重區,69.5,60,60,61.9,74,
103.02.21,R1,芒果-愛文,109,台北一,60,60,60,60,24,
103.02.21,R1,芒果-愛文,241,三重區,70,70,70,70,6,
103.02.20,R1,芒果-愛文,241,三重區,60,55,50,55,36,
103.02.19,R1,芒果-愛文,241,三重區,60,60,60,60,12,
103.02.18,R1,芒果-愛文,109,台北一,80,72.2,70,73.3,18,
103.02.18,R1,芒果-愛文,241,三重區,60,60,60,60,102,
103.02.18,R1,芒果-愛文,800,高雄市,120,95.2,80,97.1,84,
103.02.13,R1,芒果-愛文,109,台北一,85,50,40,55,36,
103.02.13,R1,芒果-愛文,241,三重區,60,60,60,60,12,
103.02.13,R1,芒果-愛文,400,台中市,60,60,60,60,24,
103.02.12,R1,芒果-愛文,109,台北一,100,100,100,100,12,
103.02.12,R1,芒果-愛文,241,三重區,50,45.9,40,45.6,108,
103.02.08,R1,芒果-愛文,109,台北一,30,30,30,30,6,
103.02.07,R1,芒果-愛文,109,台北一,80,69.2,57.5,69,60,
103.01.26,R1,芒果-愛文,241,三重區,60,60,60,60,96,
103.01.24,R1,芒果-愛文,400,台中市,80,80,80,80,6,
103.01.22,R1,芒果-愛文,241,三重區,20,20,20,20,28,
102.11.05,R1,芒果-愛文,241,三重區,40,40,40,40,18,
102.10.08,R1,芒果-愛文,104,台北二,200,187.5,100,172.5,48,
102.10.04,R1,芒果-愛文,104,台北二,190,175,126.7,168.3,36,
102.10.04,R1,芒果-愛文,109,台北一,25,25,25,25,6,
102.10.03,R1,芒果-愛文,109,台北一,74.4,46.2,31.9,49,1200,
102.10.03,R1,芒果-愛文,260,宜蘭市,60,45,20,41.6,1780,
102.10.02,R1,芒果-愛文,109,台北一,77.7,43.7,35,48.8,1164,
102.10.02,R1,芒果-愛文,260,宜蘭市,60,45,20,41.6,1980,
102.10.01,R1,芒果-愛文,104,台北二,190,145,55,136,60,
102.10.01,R1,芒果-愛文,109,台北一,74.4,40.1,28,44.5,1092,
102.10.01,R1,芒果-愛文,260,宜蘭市,60,45,20,41.6,1650,
102.09.29,R1,芒果-愛文,109,台北一,78.1,49.7,32.4,51.9,1266,
102.09.29,R1,芒果-愛文,260,宜蘭市,60,45,20,41.6,1250,
102.09.28,R1,芒果-愛文,104,台北二,185,145.8,62.3,136.9,78,
102.09.28,R1,芒果-愛文,109,台北一,80,47.4,24.7,49.4,1050,
102.09.28,R1,芒果-愛文,260,宜蘭市,60,45,20,41.6,1530,
102.09.27,R1,芒果-愛文,109,台北一,85,57.1,29.9,57.2,1140,
102.09.27,R1,芒果-愛文,260,宜蘭市,60,45,20,41.6,1980,
102.09.26,R1,芒果-愛文,104,台北二,180,152.1,63.8,140,96,
102.09.26,R1,芒果-愛文,109,台北一,69.2,25.3,15,32,1458,
102.09.26,R1,芒果-愛文,260,宜蘭市,60,45,20,41.6,2350,
102.09.25,R1,芒果-愛文,109,台北一,79.8,48.8,32.5,51.7,1680,
102.09.25,R1,芒果-愛文,260,宜蘭市,60,45,20,41.6,1560,
102.09.24,R1,芒果-愛文,104,台北二,180,162.2,58.3,145,90,
102.09.24,R1,芒果-愛文,109,台北一,76.9,48,35.9,51.4,1602,
102.09.24,R1,芒果-愛文,260,宜蘭市,60,45,20,41.6,2350,
102.09.22,R1,芒果-愛文,104,台北二,171.4,153.3,69.1,140.1,215,
102.09.22,R1,芒果-愛文,109,台北一,81,47.3,26.6,49.9,2562,
102.09.22,R1,芒果-愛文,241,三重區,18.7,16.5,15,16.6,90,
102.09.22,R1,芒果-愛文,400,台中市,75,56.2,35,53.3,681,
102.09.19,R1,芒果-愛文,104,台北二,184.2,121.7,39.2,117.7,144,
102.09.19,R1,芒果-愛文,109,台北一,89,51.9,27.5,54.4,2867,
102.09.19,R1,芒果-愛文,241,三重區,33.9,19.9,14.1,21.5,156,
102.09.19,R1,芒果-愛文,260,宜蘭市,70,50,20,46.6,3560,
102.09.19,R1,芒果-愛文,400,台中市,50,50,50,50,360,
102.09.18,R1,芒果-愛文,104,台北二,177.5,53.8,14.8,70.8,168,
102.09.18,R1,芒果-愛文,109,台北一,103.3,56,26.1,59.5,1584,
102.09.18,R1,芒果-愛文,241,三重區,65,45.5,17.6,43.8,216,
102.09.18,R1,芒果-愛文,260,宜蘭市,70,50,20,50,2350,
102.09.18,R1,芒果-愛文,400,台中市,50,50,50,50,250,
102.09.17,R1,芒果-愛文,104,台北二,185,153.3,70.5,143.1,300,
102.09.17,R1,芒果-愛文,109,台北一,92.1,48.8,23.7,52.4,2567,
102.09.17,R1,芒果-愛文,241,三重區,43.9,38.9,14.2,35,854,
102.09.17,R1,芒果-愛文,260,宜蘭市,70,50,20,50,3250,
102.09.15,R1,芒果-愛文,104,台北二,114.7,63.1,34.1,67.6,1130,
102.09.15,R1,芒果-愛文,109,台北一,98.9,43.1,24,50.4,2116,
102.09.15,R1,芒果-愛文,241,三重區,53.1,42.7,14.9,39.2,498,
102.09.15,R1,芒果-愛文,260,宜蘭市,60,45,20,41.6,1980,
102.09.15,R1,芒果-愛文,400,台中市,50,50,50,50,220,
102.09.14,R1,芒果-愛文,104,台北二,127.2,68.8,24.5,71.7,1869,
102.09.14,R1,芒果-愛文,109,台北一,98.1,47.4,20.3,52.1,1530,
102.09.14,R1,芒果-愛文,241,三重區,60.5,23.2,11,28.2,480,
102.09.14,R1,芒果-愛文,260,宜蘭市,80,50,20,50,2350,
102.09.13,R1,芒果-愛文,104,台北二,112,67.5,28.2,68.5,980,
102.09.13,R1,芒果-愛文,109,台北一,86.9,49,21.8,51.1,1001,
102.09.13,R1,芒果-愛文,241,三重區,54.3,20.4,14.1,25.9,894,
102.09.13,R1,芒果-愛文,260,宜蘭市,70,50,20,50,4150,
102.09.12,R1,芒果-愛文,104,台北二,118,53.9,32.1,62.3,1649,
102.09.12,R1,芒果-愛文,109,台北一,99.1,52,23.7,55.8,2280,
102.09.12,R1,芒果-愛文,241,三重區,69.7,29.7,15.4,34.8,1998,
102.09.12,R1,芒果-愛文,260,宜蘭市,70,50,20,50,4350,
102.09.12,R1,芒果-愛文,400,台中市,85,48.4,30,47.7,1570,
102.09.12,R1,芒果-愛文,800,高雄市,70,56.7,50,58,450,
102.09.11,R1,芒果-愛文,104,台北二,92.8,58.2,24.1,58.3,1893,
102.09.11,R1,芒果-愛文,109,台北一,81.6,44.2,21.2,47.1,2214,
102.09.11,R1,芒果-愛文,241,三重區,70.7,29,11.7,33.9,1806,
102.09.11,R1,芒果-愛文,260,宜蘭市,70,50,20,50,4350,
102.09.11,R1,芒果-愛文,400,台中市,65,65,65,65,240,
102.09.10,R1,芒果-愛文,104,台北二,82.9,42.2,16.6,45.2,4371,
